include,geographic_scale,study_area,specific_area,taxonomic_resolution,taxonomic_unit_revised,kingdom,phylum,class,order,family,genus,ecosystem,realm,information_source,gradient,position,measurement_type,observation,startperiod_orig,startperiod_startyear,startperiod_endyear,startperiod_midyear,endperiod_orig,endperiod_startyear,endperiod_endyear,endperiod_midyear,n_years,n_years_midyear,number_of_censuses,magnitude_of_shift,unit_of_shift,azimuth_of_shift,shift_tested,shift_significant,data_cleaning,modelling_conducted,other_effects,shift_source,language,reference_no,publication_id,doi,authors,article_title,publication_year,source_title,data_section,notes,lat_mean,comment,edit_info,recorder_name
1,entire_japan,Japan,Korea Strait,species,Engraulis japonicus,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1984,1984,1984,1984,2010,2010,2010,2010,26,26,312,-2.0080557230005587,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Branchiostegus japonicus,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Malacanthidae,Branchiostegus,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1995,1995,1995,1995,2010,2010,2010,2010,15,15,180,4.204930669681211,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Larimichthys polyactis,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Larimichthys,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1987,1987,1987,1987,2010,2010,2010,2010,23,23,276,4.633754781064732,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Scomber japonicus,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomber,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1984,1984,1984,1984,2010,2010,2010,2010,26,26,312,-0.5665099760097534,km/year,NA,yes,no,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Scomberomorus niphonius,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomberomorus,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1984,1984,1984,1984,2010,2010,2010,2010,26,26,312,6.095898582981949,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Trichiurus lepturus,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Trichiurus,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1987,1987,1987,1987,2010,2010,2010,2010,23,23,276,3.8144247852556386,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Thamnaconus modestus,Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Thamnaconus,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1984,1984,1984,1984,2010,2010,2010,2010,26,26,312,-2.707858617521746,km/year,NA,yes,yes,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,entire_japan,Japan,Korea Strait,species,Todarodes pacificus,Animalia,Mollusca,Cephalopoda,Oegopsida,Ommastrephidae,Todarodes,marine,marine,fishery statistics,latitude,centroid,abundance,abundance,1984,1984,1984,1984,2010,2010,2010,2010,26,26,312,-0.658317653564021,km/year,NA,yes,no,no,no,no,estimated,en,E0009,Jung et al. 2014,10.1007/s11160-013-9310-1,"Jung, S; Pang, IC; Lee, JH; Choi, I; Cha, HK",Latitudinal shifts in the distribution of exploited fishes in korean waters during the last 30 years: a consequence of climate change,2014,Reviews in Fish Biology and Fisheries,Fig. 4,"while the study focuses on the korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of japan. range shift was estimated by extracting data from the plots. the measurement of fish data was biomass. the latitude represents biomass-weighted monthly mean latitudes.",NA,na,"edited ""position"" column from unknown to centroid. unknown was originally assigned because the study did not explicitly mention the range position being considered. but after comparing the study area with the distribution map based on occurrence records, centroid was assigned for range position because the study area was close to the center of the latitudinal distribution. the comparison work is saved in e0009.distribution_20260626tscheck.pptx.",Sakiyama
1,regional,Tohoku,Miyagi,species,Etmopterus lucifer,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,marine,marine,scientific survey,horizontal,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,5.505485285850964,km/year,1.2624657346719346,NA,NA,NA,NA,NA,NA,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9",NA,NA,magnitude and azimuth of the horizontal shift estimated by combining latitude and longitude shift observations,NA,NA
1,regional,Tohoku,Miyagi,species,Pterothrissus gissu,Animalia,Chordata,Teleostei,Albuliformes,Albulidae,Pterothrissus,marine,marine,scientific survey,horizontal,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,1.8652669728706979,km/year,3.112726287748842,NA,NA,NA,NA,NA,NA,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9",NA,NA,magnitude and azimuth of the horizontal shift estimated by combining latitude and longitude shift observations,NA,NA
1,regional,Tohoku,Miyagi,species,Abyssicola macrochir,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Abyssicola,marine,marine,scientific survey,horizontal,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,11.615348913466807,km/year,1.171713813794554,NA,NA,NA,NA,NA,NA,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9",NA,NA,magnitude and azimuth of the horizontal shift estimated by combining latitude and longitude shift observations,NA,NA
1,regional,Tohoku,Miyagi,species,Malacocottus zonurus,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus,marine,marine,scientific survey,horizontal,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,4.482850776092862,km/year,0.6686876799709012,NA,NA,NA,NA,NA,NA,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9",NA,NA,magnitude and azimuth of the horizontal shift estimated by combining latitude and longitude shift observations,NA,NA
1,regional,Tohoku,Miyagi,species,Bothrocara tanakae,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Bothrocara,marine,marine,scientific survey,horizontal,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,6.421981996120642,km/year,0.6968583732833054,NA,NA,NA,NA,NA,NA,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9",NA,NA,magnitude and azimuth of the horizontal shift estimated by combining latitude and longitude shift observations,NA,NA
1,regional,Tohoku,Miyagi,species,Etmopterus lucifer,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,marine,marine,scientific survey,latitude,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,5.5041488689056575,km/year,NA,yes,yes,yes,yes,"fishery pressure, species interaction",estimated,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9","centriod in deapth and temperature gradient were also provided. length of the latitudinal shift was read from the figure showing 16 years regression line (trend analysis). caution is needed since this trend analyses ignores time autocorrelation (e.g., correlation between latitude centroid and calender year).",NA,na,"removed ""north"" in the azimuth column and kept it ""empty"" because the gradient is ""latitude"" for this data, not horizontal. edited the shiftsource column from ""no"" to ""estimated"" because dai estimated the magnitude of shift and its significance by extracting data.",Dai
1,regional,Tohoku,Miyagi,species,Pterothrissus gissu,Animalia,Chordata,Teleostei,Albuliformes,Albulidae,Pterothrissus,marine,marine,scientific survey,latitude,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,1.8625150212963588,km/year,NA,yes,no,yes,yes,"fishery pressure, species interaction",estimated,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9","centriod in deapth and temperature gradient were also provided. length of the latitudinal shift was read from the figure showing 16 years regression line (trend analysis). caution is needed since this trend analyses ignores time autocorrelation (e.g., correlation between latitude centroid and calender year).",NA,na,"removed ""north"" in the azimuth column and kept it ""empty"" because the gradient is ""latitude"" for this data, not horizontal. edited the shiftsource column from ""no"" to ""estimated"" because dai estimated the magnitude of shift and its significance by extracting data.",Dai
1,regional,Tohoku,Miyagi,species,Abyssicola macrochir,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Abyssicola,marine,marine,scientific survey,latitude,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,11.612920151441102,km/year,NA,yes,yes,yes,yes,"fishery pressure, species interaction",estimated,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9","centriod in deapth and temperature gradient were also provided. length of the latitudinal shift was read from the figure showing 16 years regression line (trend analysis). caution is needed since this trend analyses ignores time autocorrelation (e.g., correlation between latitude centroid and calender year).",NA,na,"removed ""north"" in the azimuth column and kept it ""empty"" because the gradient is ""latitude"" for this data, not horizontal. edited the shiftsource column from ""no"" to ""estimated"" because dai estimated the magnitude of shift and its significance by extracting data.",Dai
1,regional,Tohoku,Miyagi,species,Malacocottus zonurus,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Malacocottus,marine,marine,scientific survey,latitude,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,4.482545480358774,km/year,NA,yes,yes,yes,yes,"fishery pressure, species interaction",estimated,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9","centriod in deapth and temperature gradient were also provided. length of the latitudinal shift was read from the figure showing 16 years regression line (trend analysis). caution is needed since this trend analyses ignores time autocorrelation (e.g., correlation between latitude centroid and calender year).",NA,na,"removed ""north"" in the azimuth column and kept it ""empty"" because the gradient is ""latitude"" for this data, not horizontal. edited the shiftsource column from ""no"" to ""estimated"" because dai estimated the magnitude of shift and its significance by extracting data.",Dai
1,regional,Tohoku,Miyagi,species,Bothrocara tanakae,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Bothrocara,marine,marine,scientific survey,latitude,centroid,abundance_density,abundance,2003,2003,2003,2003,2019,2019,2019,2019,16,16,17,6.421507013723268,km/year,NA,yes,yes,yes,yes,"fishery pressure, species interaction",estimated,en,E0406,Kakehi et al. 2021,10.3354/meps13852,"Kakehi, S; Narimatsu, Y; Okamura, Y; Yagura, A; Ito, S",Bottom temperature warming and its impact on demersal fish off the pacific coast of northeastern japan,2021,Marine Ecology Progress Series,"Fig. 5, 6, 7, 8, 9","centriod in deapth and temperature gradient were also provided. length of the latitudinal shift was read from the figure showing 16 years regression line (trend analysis). caution is needed since this trend analyses ignores time autocorrelation (e.g., correlation between latitude centroid and calender year).",NA,na,"removed ""north"" in the azimuth column and kept it ""empty"" because the gradient is ""latitude"" for this data, not horizontal. edited the shiftsource column from ""no"" to ""estimated"" because dai estimated the magnitude of shift and its significance by extracting data.",Dai
