Recorder name,Language,Reference no,Study region,Area name,Kingdom,Taxonomic resolution,Taxonomic unit,Taxonomic unit_revised,Ecosystem,Information source,Gradient,Position,Measurement type,Start period,End period,N years,Number of censuses,Magnitude of shift,Unit of shift,Azimuth of shift,Shift tested,Shift significant,Data cleaning,Modelling conducted,Other effects,Shift source,Notes
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Thamnaconus modestus,Thamnaconus modestus,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1984,2010,26,312,-0.024352358,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0009,Korea Strait,Korea Strait,Animal,Species-level,Branchiostegus japonicus,Branchiostegus japonicus,marine,Commercial fisheries data,Latitude,Unknown,Abundance,1995,2010,15,180,0.03781585,degree/year,NA,yes,Yes,No,No,No,estimated,"While the study focuses on the Korean waters, this study was included because it mainly focuses on open sea species from the surrounding seas of Japan. Range shift was estimated by extracting data from the plots. The measurement of fish data was biomass. The latitude represents biomass-weighted monthly mean latitudes."
Sakiyama,EN,E0029,Hokkaido,Daisetsuzan National Park,Plant,Species-level,Sasa kurilensis,Sasa kurilensis,alpine,Remote sensing,Elevation,Leading edge,Abundance,1977,2012,35,1,-3,meter,NA,No,NA,No,No,No,estimated,The shift represents change in abundance-weighted mean elevation calculated based on values shown in Table 1. Values for elevation 1300-1700m were used. Significance testing was not conducted because it is not possible with this type of data sampling.
Hayashi,JA,J_ogawa16,Japan/Tohoku/Iwate,Iwate/Goyozan,Animal,Species-level,Cervus nippon centralis,Cervus nippon,forest,Distribution survey by the Ministry of the Environment,Latitude,Leading edge,Occurrence,1978,2003,25,2,18.4,kilometer,NA,No,No,No,No,①Increase in population size ②Decrease in snowfall due to global warming,estimated,This change represents the change in average latitude calculated based on the mesh map shown in Table 3.
Sakiyama,EN,E_saki1,central Japan,Mt. Fuji,Plant,Species-level,Salix reinii,Salix reinii ,alpine,Authors did the resurvey,Elevation,Leading edge,Abundance,1978,1999,21,2,-8.055555556,meter,NA,No,NA,No,No,Authors argue that the natural recovery after volcano eruption is the main process of the advancing elevation and discuss that climate change may accelerate this process.,estimated,The shift represents change in abundance-weighted mean elevation calculated based on values shown in Figure 4. Values for plots 1-13 were used. Significance testing was not conducted because it is not possible with this type of data sampling.
Sakiyama,EN,E_saki1,central Japan,Mt. Fuji,Plant,Species-level,Alnus maximowiczii,Alnus maximowiczii,alpine,Authors did the resurvey,Elevation,Leading edge,Abundance,1978,1999,21,2,7.988064791,meter,NA,No,NA,No,No,Authors argue that the natural recovery after volcano eruption is the main process of the advancing elevation and discuss that climate change may accelerate this process.,estimated,The shift represents change in abundance-weighted mean elevation calculated based on values shown in Figure 4. Values for plots 1-14 were used. Significance testing was not conducted because it is not possible with this type of data sampling.
Sakiyama,EN,E_saki1,central Japan,Mt. Fuji,Plant,Species-level,Larix kaempferi,Larix kaempferi ,alpine,Authors did the resurvey,Elevation,Leading edge,Abundance,1978,1999,21,2,12.76584272,meter,NA,No,NA,No,No,Authors argue that the natural recovery after volcano eruption is the main process of the advancing elevation and discuss that climate change may accelerate this process.,estimated,The shift represents change in abundance-weighted mean elevation calculated based on values shown in Figure 4. Values for plots 1-15 were used. Significance testing was not conducted because it is not possible with this type of data sampling.
Sakiyama,EN,E_saki1,central Japan,Mt. Fuji,Plant,Species-level,Abies veitchii,Abies veitchii,alpine,Authors did the resurvey,Elevation,Leading edge,Abundance,1978,1999,21,2,0.238095238,meter,NA,No,NA,No,No,Authors argue that the natural recovery after volcano eruption is the main process of the advancing elevation and discuss that climate change may accelerate this process.,estimated,The shift represents change in abundance-weighted mean elevation calculated based on values shown in Figure 4. Values for plots 1-16 were used. Significance testing was not conducted because it is not possible with this type of data sampling.
Sakiyama,EN,E_saki1,central Japan,Mt. Fuji,Plant,Species-level,Picea jezoensis,Picea jezoensis,alpine,Authors did the resurvey,Elevation,Leading edge,Abundance,1978,1999,21,2,12.30769231,meter,NA,No,NA,No,No,Authors argue that the natural recovery after volcano eruption is the main process of the advancing elevation and discuss that climate change may accelerate this process.,estimated,The shift represents change in abundance-weighted mean elevation calculated based on values shown in Figure 4. Values for plots 1-17 were used. Significance testing was not conducted because it is not possible with this type of data sampling.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Gadus macrocephalus,Gadus macrocephalus,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.87,degrees,49.53777251,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Theragra chalcogramma,Gadus chalcogrammus,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,1.42,degrees,54.35297925,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Pleurogrammus azonus,Pleurogrammus azonus,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.63,degrees,219.5361572,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Arctoscopus japonicus,Arctoscopus japonicus,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.56,degrees,65.86762041,Yes (centroid position),No,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Squalus acanthias,Squalus acanthias,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,1.02,degrees,27.89727103,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Glyptocephalus stelleri,Glyptocephalus stelleri,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.11,degrees,57.09475708,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Hippoglossoides dubius,Hippoglossoides dubius,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.12,degrees,70.01689348,Yes (centroid position),No,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Pleuronectes herzensteini,Pseudopleuronectes herzensteini,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.17,degrees,235.7842979,Yes (centroid position),No,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Microstomus achne,Microstomus achne,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.68,degrees,214.0771953,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Hippoglossoides pinetorum,Cleisthenes pinetorum,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.15,degrees,62.65012422,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Eopsetta grigorjewi,Eopsetta grigorjewi,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.52,degrees,232.5946434,Yes (centroid position),No,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Tanakius kitaharai,Tanakius kitaharae,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.13,degrees,325.3048465,Yes (centroid position),No,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Glossanodon semifasciatus,Glossanodon semifasciatus,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.35,degrees,67.13549188,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Paralichthys olivaceus,Paralichthys olivaceus,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.76,degrees,221.8201699,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Pagrus major,Pagrus major,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.36,degrees,213.6900675,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Evynnis japonica,Evynnis tumifrons,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.19,degrees,207.7585406,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Dentex tumifrons,Evynnis tumifrons,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.11,degrees,66.25050551,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Lepidotrigla microptera,Lepidotrigla microptera,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.43,degrees,238.7994854,Yes (centroid position),No,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Trichiurus japonicus,Trichiurus japonicus,Marine,Bottom-trawl surveys,Latitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.06,degrees,78.31063082,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Gadus macrocephalus,Gadus macrocephalus,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,1.02,degrees,49.53777251,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Theragra chalcogramma,Gadus chalcogrammus,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,1.98,degrees,54.35297925,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Pleurogrammus azonus,Pleurogrammus azonus,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.52,degrees,219.5361572,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Arctoscopus japonicus,Arctoscopus japonicus,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,1.25,degrees,65.86762041,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Squalus acanthias,Squalus acanthias,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.54,degrees,27.89727103,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Glyptocephalus stelleri,Glyptocephalus stelleri,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.17,degrees,57.09475708,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Hippoglossoides dubius,Hippoglossoides dubius,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.33,degrees,70.01689348,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Pleuronectes herzensteini,Pseudopleuronectes herzensteini,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.25,degrees,235.7842979,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Microstomus achne,Microstomus achne,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.46,degrees,214.0771953,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Hippoglossoides pinetorum,Cleisthenes pinetorum,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.29,degrees,62.65012422,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Eopsetta grigorjewi,Eopsetta grigorjewi,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.68,degrees,232.5946434,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Tanakius kitaharai,Tanakius kitaharae,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.09,degrees,325.3048465,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Glossanodon semifasciatus,Glossanodon semifasciatus,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.83,degrees,67.13549188,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Paralichthys olivaceus,Paralichthys olivaceus,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.68,degrees,221.8201699,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Pagrus major,Pagrus major,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.24,degrees,213.6900675,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Evynnis japonica,Evynnis tumifrons,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.1,degrees,207.7585406,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Dentex tumifrons,Evynnis tumifrons,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.25,degrees,66.25050551,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Lepidotrigla microptera,Lepidotrigla microptera,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,-0.71,degrees,238.7994854,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1585,Japan,Sea of Japan (central-western sector),Animalia,Species,Trichiurus japonicus,Trichiurus japonicus,Marine,Bottom-trawl surveys,Longitude,Centroid,CPUE,1977–1988,1989–2002,NA,NA,0.29,degrees,78.31063082,Yes (centroid position),Yes,NA,No,NA,Estimated,Shifts estimated from Fig. 3. The significance tested corresponds to the overall centroid shift not the lat/lon ones as stated in the paper. Azimuths (bearings) calculated from the lat/lon shifts.
Jorge,EN,E1667,Japan,East China Sea coast,Animalia,Species,Acropora hyacinthus,Acropora hyacinthus,Marine,Literature and museum specimens,Latitude,Leading,Occurrence (presence-only),1965-1977,1988-1995,NA,NA,13,km/year,NA,No,NA,No,No,NA,Stated,Shifts provided as minimum estimates of expansion rates over the period
Jorge,EN,E1667,Japan,East China Sea coast,Animalia,Species,Acropora hyacinthus,Acropora hyacinthus,Marine,Literature and museum specimens,Latitude,Leading,Occurrence (presence-only),1988-1995,1999-2010,NA,NA,5,km/year,NA,No,NA,No,No,NA,Stated,Shifts provided as minimum estimates of expansion rates over the period
Jorge,EN,E1667,Japan,Pacific coast,Animalia,Species,Acropora hyacinthus,Acropora hyacinthus,Marine,Literature and museum specimens,Latitude,Leading,Occurrence (presence-only),1965-1977,1988-1995,NA,NA,0,km/year,NA,No,NA,No,No,NA,Stated,Shifts provided as minimum estimates of expansion rates over the period
Jorge,EN,E1667,Japan,Pacific coast,Animalia,Species,Acropora hyacinthus,Acropora hyacinthus,Marine,Literature and museum specimens,Latitude,Leading,Occurrence (presence-only),1988-1995,1999-2010,NA,NA,0,km/year,NA,No,NA,No,No,NA,Stated,Shifts provided as minimum estimates of expansion rates over the period
Jorge,EN,E1667,Japan,East China Sea coast,Animalia,Species,Acropora muricata,Acropora muricata,Marine,Literature and museum specimens,Latitude,Leading,Occurrence (presence-only),1988-1995,1999-2010,NA,NA,14,km/year,NA,No,NA,No,No,NA,Stated,Shifts provided as minimum estimates of expansion rates over the period
